"database_name","schema_name","table_name","object_type","approximate_rows","create_date","modify_date"
"HnnDW","dbo","Fact_Survey_Question_Results_202604","TABLE","42582","01.04.2026 0:10:26","17.05.2026 6:35:08"
"HnnDW","dbo","Fact_Survey_Question_Results_202605","TABLE","6430","01.05.2026 1:24:26","14.06.2026 5:22:23"
"HnnDW","dbo","Fact_Survey_Question_Results_202606","TABLE","30098","01.06.2026 23:09:05","19.07.2026 5:53:46"
"HnnDW","dbo","Fact_Survey_Question_Results_202607","TABLE","132616","01.07.2026 0:19:39","16.08.2026 4:50:52"
"HnnDW","dbo","Fact_Survey_Question_Results_202608","TABLE","16809","01.08.2026 10:49:43","31.08.2026 23:24:54"
"HnnDW","dbo","FACT_Territory_History","TABLE","222813","09.02.2023 14:59:39","09.02.2023 15:05:53"
"HnnDW","dbo","Fact_Visit_Fotos","TABLE","7273461","10.11.2025 14:37:09","23.04.2026 17:13:27"
"HnnDW","dbo","Fact_Visits","TABLE","9057565","05.04.2023 21:52:34","15.04.2026 16:16:35"
"HnnDW","dbo","Plan_Survey_Dates","TABLE","4678028","10.11.2025 14:37:09","15.04.2026 16:16:38"
"HnnDW","dbo","Report_PHOTO_AUDITs","VIEW","0","09.01.2023 18:07:45","03.10.2024 16:41:35"
"HnnDW","dbo","V_FACT_Faces_Attributes_History","VIEW","0","24.07.2024 20:11:40","24.07.2024 20:11:40"
"HnnDW","dbo","V_FACT_Faces_MustTop","VIEW","0","24.07.2024 20:11:40","24.07.2024 20:11:40"
"HnnDW","dbo","V_FACT_FacesItemsAttributes","VIEW","0","08.09.2025 13:59:35","08.09.2025 13:59:35"
"HnnDW","dbo","V_FACT_Items_Attributes_History","VIEW","0","24.07.2024 20:11:40","24.07.2024 20:11:40"
"HnnDW","dbo","V_FACT_Items_MustTop","VIEW","0","24.07.2024 20:11:40","24.07.2024 20:11:40"
"HnnDW","dbo","V_FACT_MATRIX2Items","VIEW","0","24.07.2024 20:11:05","24.07.2024 20:11:05"
"HnnDW","dbo","V_FACT_MATRIX2SHIPTO","VIEW","0","24.07.2024 20:11:05","24.07.2024 20:11:05"
"HnnDW","dbo","V_Fact_OOS","VIEW","0","31.08.2026 22:08:34","31.08.2026 22:08:34"
"HnnDW","dbo","V_FACT_PosmFaces","VIEW","0","08.09.2025 13:59:35","08.09.2025 13:59:35"
"HnnDW","dbo","V_FACT_Posms","VIEW","0","08.09.2025 13:59:35","08.09.2025 13:59:35"
"HnnDW","dbo","V_Fact_Survey_Question_Results","VIEW","0","10.11.2025 14:37:09","10.11.2025 14:37:09"
"HnnDW","dbo","V_Fact_Survey_Results_All","VIEW","0","31.08.2026 23:24:54","31.08.2026 23:24:54"
"HnnDW","dbo","V_Plan_Survey_Dates","VIEW","0","10.11.2025 14:37:09","10.11.2025 14:37:09"
