"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3006693_1000547_20260717","850176923_20260717_3886","17.07.2026 0:00:00","850176923","3006693"
"3006693_1000547_20260724","850176923_20260724_3886","24.07.2026 0:00:00","850176923","3006693"
"3006693_1000547_20260731","850176923_20260731_3886","31.07.2026 0:00:00","850176923","3006693"
"3006693_1000963_20260701","850249466_20260701_3886","01.07.2026 0:00:00","850249466","3006693"
"3006693_1000963_20260708","850249466_20260708_3886","08.07.2026 0:00:00","850249466","3006693"
"3006693_1000963_20260715","850249466_20260715_3886","15.07.2026 0:00:00","850249466","3006693"
"3006693_1000963_20260722","850249466_20260722_3886","22.07.2026 0:00:00","850249466","3006693"
"3006693_1000963_20260729","850249466_20260729_3886","29.07.2026 0:00:00","850249466","3006693"
"3006693_1001016_20260701","850254007_20260701_3886","01.07.2026 0:00:00","850254007","3006693"
"3006693_1001016_20260708","850254007_20260708_3886","08.07.2026 0:00:00","850254007","3006693"
"3006693_1001016_20260722","850254007_20260722_3886","22.07.2026 0:00:00","850254007","3006693"
"3006693_1001016_20260729","850254007_20260729_3886","29.07.2026 0:00:00","850254007","3006693"
"3006693_1001309_20260703","850280322_20260703_3886","03.07.2026 0:00:00","850280322","3006693"
"3006693_1001309_20260706","850280322_20260706_3886","06.07.2026 0:00:00","850280322","3006693"
"3006693_1001309_20260713","850280322_20260713_3886","13.07.2026 0:00:00","850280322","3006693"
"3006693_1001309_20260717","850280322_20260717_3886","17.07.2026 0:00:00","850280322","3006693"
"3006693_1001309_20260720","850280322_20260720_3886","20.07.2026 0:00:00","850280322","3006693"
"3006693_1001309_20260724","850280322_20260724_3886","24.07.2026 0:00:00","850280322","3006693"
"3006693_1001309_20260727","850280322_20260727_3886","27.07.2026 0:00:00","850280322","3006693"
"3006693_1001309_20260731","850280322_20260731_3886","31.07.2026 0:00:00","850280322","3006693"
"3006693_1001415_20260706","850286967_20260706_3886","06.07.2026 0:00:00","850286967","3006693"
"3006693_1001415_20260710","850286967_20260710_3886","10.07.2026 0:00:00","850286967","3006693"
"3006693_1001415_20260720","850286967_20260720_3886","20.07.2026 0:00:00","850286967","3006693"
"3006693_1001415_20260724","850286967_20260724_3886","24.07.2026 0:00:00","850286967","3006693"
"3006693_1001415_20260731","850286967_20260731_3886","31.07.2026 0:00:00","850286967","3006693"
"3006693_1012444_20260702","850278191_20260702_3886","02.07.2026 0:00:00","850278191","3006693"
"3006693_1012444_20260709","850278191_20260709_3886","09.07.2026 0:00:00","850278191","3006693"
"3006693_1012444_20260716","850278191_20260716_3886","16.07.2026 0:00:00","850278191","3006693"
